from.id    from.cord  to.id      to.cord
     0            0     15      1500000
    16      1600000     35      3500000
    36      3600000     55      5500000
    56      5600000     75      7500000
    76      7600000     95      9500000
    96      9600000    115     11500000
   116     11600000    135     13500000
   136     13600000    155     15500000
   156     15600000    175     17500000
   176     17600000    195     19500000
   196     19600000    213     21300000
   214     21400000    233     23300000
   280     28000000    299     29900000
   300     30000000    319     31900000
   320     32000000    339     33900000
   340     34000000    359     35900000
   360     36000000    379     37900000
   380     38000000    399     39900000
   400     40000000    419     41900000
   420     42000000    439     43900000
   440     44000000    459     45900000
   480     48000000    499     49900000
   500     50000000    519     51900000
   520     52000000    539     53900000
   540     54000000    559     55900000
   560     56000000    579     57900000
