from.id    from.cord  to.id      to.cord
     3       150000     23      1150000
    26      1300000     39      1950000
    41      2050000     47      2350000
    49      2450000     88      4400000
    89      4450000    128      6400000
   129      6450000    135      6750000
   138      6900000    141      7050000
   145      7250000    160      8000000
   163      8150000    166      8300000
   171      8550000    182      9100000
   183      9150000    222     11100000
   223     11150000    258     12900000
   262     13100000    301     15050000
   302     15100000    341     17050000
   342     17100000    381     19050000
   382     19100000    421     21050000
   422     21100000    428     21400000
   429     21450000    468     23400000
   543     27150000    562     28100000
   563     28150000    602     30100000
   603     30150000    642     32100000
   643     32150000    682     34100000
   683     34150000    720     36000000
   723     36150000    727     36350000
   730     36500000    740     37000000
   743     37150000    746     37300000
   750     37500000    789     39450000
   790     39500000    812     40600000
   815     40750000    818     40900000
   822     41100000    849     42450000
   865     43250000    870     43500000
   872     43600000    911     45550000
   912     45600000    951     47550000
   952     47600000    953     47650000
   956     47800000    959     47950000
   963     48150000    975     48750000
   978     48900000    981     49050000
   985     49250000    996     49800000
   998     49900000   1005     50250000
  1007     50350000   1046     52300000
  1047     52350000   1086     54300000
  1087     54350000   1091     54550000
  1093     54650000   1098     54900000
  1101     55050000   1140     57000000
  1141     57050000   1166     58300000
