from.id    from.cord  to.id      to.cord
     0            0     35      1750000
    36      1800000     75      3750000
    76      3800000    115      5750000
   116      5800000    155      7750000
   156      7800000    195      9750000
   196      9800000    235     11750000
   236     11800000    275     13750000
   276     13800000    315     15750000
   316     15800000    355     17750000
   356     17800000    395     19750000
   396     19800000    422     21100000
   423     21150000    462     23100000
   529     26450000    568     28400000
   569     28450000    573     28650000
   574     28700000    613     30650000
   614     30700000    653     32650000
   654     32700000    693     34650000
   694     34700000    733     36650000
   734     36700000    773     38650000
   774     38700000    813     40650000
   814     40700000    838     41900000
   839     41950000    878     43900000
   879     43950000    880     44000000
   881     44050000    920     46000000
   921     46050000    960     48000000
   961     48050000   1000     50000000
  1001     50050000   1040     52000000
  1041     52050000   1080     54000000
  1081     54050000   1120     56000000
  1121     56050000   1157     57850000
  1158     57900000   1166     58300000
