from.id    from.cord  to.id      to.cord
     0            0     28      1400000
    29      1450000     68      3400000
    69      3450000    108      5400000
   109      5450000    148      7400000
   149      7450000    188      9400000
   189      9450000    228     11400000
   229     11450000    268     13400000
   269     13450000    308     15400000
   309     15450000    348     17400000
   349     17450000    388     19400000
   389     19450000    421     21050000
   422     21100000    461     23050000
   542     27100000    572     28600000
   573     28650000    612     30600000
   613     30650000    652     32600000
   653     32650000    692     34600000
   693     34650000    732     36600000
   733     36650000    772     38600000
   773     38650000    812     40600000
   813     40650000    848     42400000
   849     42450000    880     44000000
   881     44050000    920     46000000
   921     46050000    960     48000000
   961     48050000   1000     50000000
  1001     50050000   1040     52000000
  1041     52050000   1080     54000000
  1081     54050000   1120     56000000
  1121     56050000   1160     58000000
