from.id    from.cord  to.id      to.cord
     0            0      9       450000
    10       500000     49      2450000
    50      2500000     89      4450000
    90      4500000    129      6450000
   130      6500000    169      8450000
   170      8500000    209     10450000
   210     10500000    249     12450000
   250     12500000    289     14450000
   290     14500000    329     16450000
   330     16500000    369     18450000
   370     18500000    409     20450000
   410     20500000    434     21700000
   435     21750000    460     23000000
   461     23050000    476     23800000
   539     26950000    559     27950000
   560     28000000    599     29950000
   600     30000000    639     31950000
   640     32000000    679     33950000
   680     34000000    719     35950000
   720     36000000    759     37950000
   760     38000000    799     39950000
   800     40000000    839     41950000
   863     43150000    902     45100000
   903     45150000    942     47100000
   943     47150000    982     49100000
   983     49150000   1022     51100000
  1023     51150000   1062     53100000
  1063     53150000   1102     55100000
  1103     55150000   1142     57100000
