from.id    from.cord  to.id      to.cord
     1        50000     40      2000000
    41      2050000     80      4000000
    81      4050000    120      6000000
   121      6050000    160      8000000
   161      8050000    200     10000000
   201     10050000    240     12000000
   241     12050000    280     14000000
   281     14050000    320     16000000
   321     16050000    360     18000000
   361     18050000    400     20000000
   459     22950000    473     23650000
   554     27700000    561     28050000
   562     28100000    601     30050000
   602     30100000    641     32050000
   642     32100000    681     34050000
   682     34100000    721     36050000
   722     36100000    761     38050000
   762     38100000    801     40050000
   802     40100000    841     42050000
   842     42100000    881     44050000
   882     44100000    921     46050000
   922     46100000    961     48050000
  1002     50100000   1041     52050000
  1042     52100000   1081     54050000
  1082     54100000   1121     56050000
  1122     56100000   1161     58050000
