from.id    from.cord  to.id      to.cord
     4       200000      6       300000
     8       400000      9       450000
    45      2250000     84      4200000
    85      4250000    124      6200000
   125      6250000    151      7550000
   152      7600000    166      8300000
   168      8400000    170      8500000
   172      8600000    173      8650000
   176      8800000    215     10750000
   216     10800000    255     12750000
   256     12800000    295     14750000
   296     14800000    335     16750000
   336     16800000    375     18750000
   376     18800000    413     20650000
   529     26450000    568     28400000
   569     28450000    581     29050000
   582     29100000    621     31050000
   622     31100000    661     33050000
   662     33100000    701     35050000
   702     35100000    741     37050000
   742     37100000    781     39050000
   782     39100000    821     41050000
   822     41100000    829     41450000
   830     41500000    869     43450000
   870     43500000    889     44450000
   890     44500000    929     46450000
   930     46500000    969     48450000
   970     48500000    975     48750000
   976     48800000    984     49200000
   985     49250000   1024     51200000
  1025     51250000   1064     53200000
  1065     53250000   1104     55200000
  1105     55250000   1144     57200000
  1145     57250000   1148     57400000
  1151     57550000   1156     57800000
  1160     58000000   1170     58500000
