from.id    from.cord  to.id      to.cord
     2       100000     27      1350000
    28      1400000     39      1950000
    40      2000000     48      2400000
    49      2450000     88      4400000
    89      4450000    128      6400000
   129      6450000    135      6750000
   136      6800000    144      7200000
   145      7250000    160      8000000
   161      8050000    169      8450000
   171      8550000    182      9100000
   183      9150000    222     11100000
   223     11150000    256     12800000
   257     12850000    259     12950000
   260     13000000    299     14950000
   300     15000000    339     16950000
   340     17000000    379     18950000
   380     19000000    419     20950000
   420     21000000    428     21400000
   429     21450000    468     23400000
   543     27150000    562     28100000
   563     28150000    602     30100000
   603     30150000    642     32100000
   643     32150000    682     34100000
   683     34150000    720     36000000
   721     36050000    729     36450000
   730     36500000    740     37000000
   741     37050000    749     37450000
   750     37500000    789     39450000
   790     39500000    812     40600000
   813     40650000    821     41050000
   822     41100000    841     42050000
   843     42150000    849     42450000
   865     43250000    871     43550000
   872     43600000    911     45550000
   912     45600000    951     47550000
   952     47600000    953     47650000
   954     47700000    962     48100000
   963     48150000    975     48750000
   976     48800000    984     49200000
   985     49250000    996     49800000
   997     49850000   1006     50300000
  1007     50350000   1046     52300000
  1047     52350000   1086     54300000
  1087     54350000   1091     54550000
  1092     54600000   1100     55000000
  1101     55050000   1140     57000000
  1141     57050000   1166     58300000
